"_id", "title", "Overview", "HPI", "Signs_and_Symptoms", "Considerations", "PEARLS"
"41", "Sexual Assault", "", "", "", "", ""
"42", "Elder Abuse", "", "", "", "", ""
"43", "Conductive Energy Device Injuries", "", "", "", "", ""
"44", "Thoracic Trauma", "", "", "", "", ""
"45", "Field Trauma Triage Scheme", "", "", "", "", ""
"46", "Hypothermia", "", "", "", "", ""
"47", "Hyperthermia", "", "", "", "", ""
"48", "Bites and Envenomation", "", "", "", "", ""
"49", "Drowning / Near Drowning", "", "", "", "", ""
"50", "Physiologic Changes with Pregnancy", "", "", "", "", ""
"51", "Delviery - Uncomplicated", "", "", "", "", ""
"52", "Neonatal Resuscitation", "", "", "", "", ""
"53", "Delivery - Shoulder Dystocia", "", "", "", "", ""
"54", "Delivery - Breech Presentation", "", "", "", "", ""
"55", "Ectopic Pregnancy / Rupture", "", "", "", "", ""
"56", "Abruptio Placenta", "", "", "", "", ""
"57", "Placenta Previa", "", "", "", "", ""
"58", "Umbilical Cord Prolapse", "", "", "", "", ""
"59", "Hypertension / Eclampsia / HELLPS", "", "", "", "", ""
"60", "Premature Rupture of Membranes (PROM)", "", "", "", "", ""
"61", "Pre-term Labor", "", "", "", "", ""
"62", "Postpartum Hemorrhage (PPH)", "", "", "", "", ""
"63", "Opiate Overdose", "", "", "", "", ""
"64", "Stimulant Overdose", "", "", "", "", ""
"65", "Tricyclic Anti-depressant Overdose", "", "", "", "", ""
"66", "Organophosphate Exposure", "", "", "", "", ""
"67", "Calcium Channel Blocker Overdose", "", "", "", "", ""
"68", "Beta Blocker Overdose", "", "", "", "", ""
"69", "BLS Pulseless Arrest", "", "", "", "", ""
"70", "ALS Pediatric Pulseless Arrest", "", "", "", "", ""
"71", "Newborn Resuscitation", "", "", "", "", ""
"72", "Tachycardia with a Pulse", "", "", "", "", ""
"73", "Bradycardia", "", "", "", "", ""
"74", "Pediatric Medical Patient Assessment", "", "", "", "", ""
"75", "Allergic Reaction / Anaphylaxis", "", "", "", "", ""
"76", "Fever", "", "", "", "", ""
"77", "Foreign Body Airway\nObstruction", "", "", "", "", ""
"78", "Hyperglycemia", "", "", "", "", ""
"79", "Hypoglycemia", "", "", "", "", ""
"80", "Nausea / Vomiting", "", "", "", "", ""
"81", "Pain Management", "", "", "", "", ""
"82", "Poisoning / Overdose", "", "", "", "", ""
"83", "Respiratory Distress - Asthma", "", "", "", "", ""
"84", "Respiratory Distress - Croup / Epiglottitis", "", "", "", "", ""
"85", "Seizures", "", "", "", "", ""
"86", "Shock", "", "", "", "", ""
"87", "Unconscious / Syncope / AMS", "", "", "", "", ""
"88", "Abdominal Trauma", "", "", "", "", ""
"89", "Burns", "", "", "", "", ""
"90", "Electrical Injuries", "", "", "", "", ""
"91", "Head Injury", "", "", "", "", ""
"92", "12-Lead ECG Acquisition", "", "", "", "", ""
"93", "Capnography", "", "", "", "", ""
"94", "Pulse Oximetry", "", "", "", "", ""
"95", "Needle Thoracentesis", "", "", "", "", ""
"96", "Oral Intubation", "", "", "", "", ""
"97", "Nasal Intubation", "", "", "", "", ""
"98", "Supraglottic Airway", "", "", "", "", ""
"99", "Surgical Cricothyrotomy", "", "", "", "", ""
"100", "Oro-gastric (OG) Tube", "", "", "", "", ""
"101", "Tourniquet", "", "", "", "", ""
"102", "IO", "", "", "", "", ""
"103", "Continuous Positive Airway Pressure (CPAP)", "", "", "", "", ""
"104", "Synchronized Cardioversion", "", "", "", "", ""
"105", "External (Transcutaneous) Cardiac Pacing", "", "", "", "", ""
"106", "Mechanical CPR Devices", "", "", "", "", ""
"107", "Patient Restraint", "", "", "", "", ""
"108", "Patient and Scene Management", "", "", "", "", ""
"109", "Documentation Compliance", "", "", "", "", ""
"110", "Treatment of Minors", "", "", "", "", ""
"111", "Patient Destination Policy", "", "", "", "", ""
"112", "Hospital Diversion Policy \nfor Emergency Patients", "", "", "", "", ""
"113", "Patient Refusal", "", "", "", "", ""
"114", "Do Not Resuscitate (DNR) Orders", "", "", "", "", ""
"115", "Cease Resuscitaiton Orders", "", "", "", "", ""
"116", "Traumatic Cease Resuscitation", "", "", "", "", ""
"117", "Inter-facility Transfers", "", "", "", "", ""
"118", "Infection Control - PPE", "", "", "", "", ""
"119", "Infection Control - Exposure", "", "", "", "", ""
"120", "Mass Gatherings", "", "", "", "", ""
"121", "ODEMSA Drug Box Contents", "", "", "", "", ""
"122", "Adenosine (Adenocard)", "", "", "", "", ""
"123", "Albuterol", "", "", "", "", ""
"124", "Amiodarone (Cordarone)", "", "", "", "", ""
"125", "Aspirin", "", "", "", "", ""
"126", "Atropine Sulfate", "", "", "", "", ""
"127", "Bumetanide (Bumex)", "", "", "", "", ""
"128", "Calcium Chloride", "", "", "", "", ""
"129", "Dextrose 50%, 25%, 10%", "", "", "", "", ""
"130", "Diazepam (Valium)", "", "", "", "", ""
"131", "Diltiazem (Cardizem)", "", "", "", "", ""
"132", "Diphenhydramine (Benadryl)", "", "", "", "", ""
"133", "Dopamine", "", "", "", "", ""
"134", "Epinephrine 1:1,000 and 1:10,000", "", "", "", "", ""
"135", "Fentanyl", "", "", "", "", ""
"136", "Furosemide (Lasix)", "", "", "", "", ""
"137", "Glucagon", "", "", "", "", ""
"138", "Ipratropium (Atrovent)", "", "", "", "", ""
"139", "Lorazepam (Ativan)", "", "", "", "", ""
"140", "Magnesium Sulfate", "", "", "", "", ""
"141", "Metoprolol (Lopressor)", "", "", "", "", ""
"142", "Midazolam (Versed)", "", "", "", "", ""
"143", "Morphine Sulfate", "", "", "", "", ""
"144", "Naloxone (Narcan)", "", "", "", "", ""
"145", "Nitroglycerin", "", "", "", "", ""
"146", "Odansetron (Zofran)", "", "", "", "", ""
"147", "Oxygen", "", "", "", "", ""
"148", "Prednisone", "", "", "", "", ""
"149", "Sodium Bicarbonate", "", "", "", "", ""
"150", "Vasopressin, ADH", "", "", "", "", ""
"151", "Ziprasidone (Geodon)", "", "", "", "", ""
"152", "Lidocaine", "", "", "", "", ""
"153", "Etomidate", "", "", "", "", ""
"154", "Succinylcholine", "", "", "", "", ""
"155", "Vecuronium Bromide (Norcuron)", "", "", "", "", ""
"156", "Skeletal System - Anterior", "", "", "", "", ""
"157", "Skeletal System - Lateral", "", "", "", "", ""
"158", "Vertebral Column", "", "", "", "", ""
"159", "Anatomy of the Skull", "", "", "", "", ""
"160", "Anatomy of the Hand", "", "", "", "", ""
"161", "Anatomy of the Foot", "", "", "", "", ""
"162", "Tooth Chart", "", "", "", "", ""
"163", "Arterial System", "", "", "", "", ""
"164", "Venous System", "", "", "", "", ""
"165", "Thoracic and Abdominal Organs", "", "", "", "", ""
"166", "Anatomy of the Heart", "", "", "", "", ""
"167", "Dermatomes - Anterior", "", "", "", "", ""
"168", "Dermatomes - Posterior", "", "", "", "", ""
"169", "Adult Burn Estimation", "", "", "", "", ""
"170", "Pediatric Burn Estimation", "", "", "", "", ""
